Title,Sales,Series,Platform(s),Initial release date,Developer(s),Publisher(s),Ref
Minecraft,"238,000,000",Minecraft,Multi-platform,"November 18, 2011",Mojang Studios,Xbox Game Studios,
Grand Theft Auto V,"170,000,000",Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games,
Tetris (EA),"100,000,000",Tetris,Multi-platform,"September 12, 2006",EA Mobile,Electronic Arts,
Wii Sports,"82,900,000",Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo,
PUBG: Battlegrounds,"75,000,000",PUBG Universe,Multi-platform,"December 20, 2017",PUBG Corporation,PUBG Corporation,
Super Mario Bros.,"58,000,000",Super Mario,Multi-platform,"September 13, 1985",Nintendo R&D4,Nintendo,
Mario Kart 8 / Deluxe,"56,870,000",Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD,Nintendo,
Overwatch,"50,000,000",Overwatch,Multi-platform,"May 24, 2016",Blizzard Entertainment,Blizzard Entertainment,
Pokémon Red / Green / Blue / Yellow,"47,520,000",Pokémon,Game Boy / Color,"February 27, 1996",Game Freak,Nintendo,
Red Dead Redemption 2,"46,000,000",Red Dead,Multi-platform,"October 26, 2018",Rockstar Studios,Rockstar Games,
Terraria,"44,500,000",None,Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games,
Wii Fit / Plus,"43,800,000",Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo,
Tetris (1989),"43,000,000",Tetris,Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo,
Pac-Man,"42,071,635",Pac-Man,Multi-platform,"May 22, 1980",Namco,Namco,
Animal Crossing: New Horizons,"40,170,000",Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo,
The Witcher 3 / Hearts of Stone / Blood and Wine,"40,000,000",The Witcher,Multi-platform,"May 19, 2015",CD Projekt Red,CD Projekt,
Mario Kart Wii,"37,380,000",Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo,
Wii Sports Resort,"33,140,000",Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo,
New Super Mario Bros.,"30,800,000",Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo,
New Super Mario Bros. Wii,"30,320,000",Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo,
Call of Duty: Modern Warfare,"30,000,000",Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision,
Diablo III / Reaper of Souls,"30,000,000",Diablo,Multi-platform,"May 16, 2012",Blizzard Entertainment,Blizzard Entertainment,
Human: Fall Flat,"30,000,000",None,Multi-platform,"July 22, 2016",No Brakes Games,Curve Digital,
The Elder Scrolls V: Skyrim,"30,000,000",The Elder Scrolls,Multi-platform,"November 11, 2011",Bethesda Game Studios,Bethesda Softworks,
Super Smash Bros. Ultimate,"29.530,000",Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo,
The Legend of Zelda: Breath of the Wild,"29,490,000",The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo,
Pokémon Gold / Silver / Crystal,"29,490,000",Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo,
Duck Hunt,"28,300,000",None,NES,"April 21, 1984",Nintendo R&D1,Nintendo,
Wii Play,"28,020,000",Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo,
The Walking Dead,"28,000,000",The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games,
Grand Theft Auto: San Andreas,"27,500,000",Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games,
Super Mario World,"26,662,500",Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo,
Call of Duty: Modern Warfare 3,"26,500,000",Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision,
Call of Duty: Black Ops,"26,200,000",Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision,
Borderlands 2,"27,000,000",Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games,
Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"25,370,000",Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company,
Pokémon Sword / Shield,"25,370,000",Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company,
Grand Theft Auto IV,"25,000,000",Grand Theft Auto,Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games,
Pokémon Diamond / Pearl / Platinum,"24,730,000",Pokémon,Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company,
Super Mario Bros. 3,"24,430,000",Super Mario,Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo,
Super Mario Odyssey,"24,400,000",Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo,
Call of Duty: Black Ops II,"24,200,000",Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision,
FIFA 18,"24,000,000",FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports,
Kinect Adventures!,"24,000,000",None,Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios,
Sonic the Hedgehog,"23,982,960",Sonic the Hedgehog,Multi-platform,"June 23, 1991",Sonic Team,Sega,
Nintendogs,"23,960,000",None,Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo,
Mario Kart DS,"23,600,000",Mario Kart,Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo,
God of War,"23,000,000",God of War,PlayStation 4 / Windows,"April 20, 2018",Santa Monica Studio,Sony Interactive Entertainment,
Red Dead Redemption,"23,000,000",Red Dead,PS3 / Xbox 360,"May 18, 2010",Rockstar San Diego,Rockstar Games,
Call of Duty: Modern Warfare 2,"22,700,000",Call of Duty,Multi-platform,"November 10, 2009",Infinity Ward,Activision,
